fiber_fraction,Ef_Em,width_to_thickness_ratio,length_value,theta,length_distribution_type,sim,random_seed,box_x,box_z,E1_Em,E2_Em,E3_Em,G12_Em,G13_Em,G23_Em,v12,v13,v23,L_band
0.25,20.0,2.0,50.0,0,constant,sim004_25,3,250,250,1.75523,1.75632,2.93028,0.6516,0.7174,0.71613,0.35086,0.18244,0.18198,short
0.25,28.0,2.0,50.0,0,constant,sim004_25,3,250,250,1.80169,1.80282,3.23866,0.66736,0.74393,0.74258,0.35418,0.16894,0.16851,short
0.25,32.0,2.0,50.0,0,constant,sim004_25,3,250,250,1.81745,1.81859,3.35559,0.67268,0.75327,0.75191,0.35532,0.16429,0.16386,short
0.25,40.0,2.0,50.0,0,constant,sim004_25,3,250,250,1.84072,1.84186,3.54122,0.68052,0.76741,0.76604,0.357,0.15736,0.15696,short
0.25,48.0,2.0,50.0,0,constant,sim004_25,3,250,250,1.85712,1.85826,3.68229,0.68604,0.77766,0.7763,0.35818,0.15244,0.15206,short
0.3,4.0,2.0,50.0,0,constant,sim004_30,3,250,250,1.46598,1.47299,1.69476,0.55235,0.56843,0.5722,0.32521,0.26393,0.26409,short
0.3,12.0,2.0,50.0,0,constant,sim004_30,3,250,250,1.8,1.82077,2.78932,0.66961,0.72,0.73021,0.34031,0.19509,0.19531,short
0.3,20.0,2.0,50.0,0,constant,sim004_30,3,250,250,1.91142,1.93822,3.41958,0.70778,0.77702,0.78985,0.3458,0.16821,0.16819,short
0.3,28.0,2.0,50.0,0,constant,sim004_30,3,250,250,1.96842,1.99853,3.83576,0.72715,0.80837,0.82257,0.34862,0.15395,0.15374,short
0.3,32.0,2.0,50.0,0,constant,sim004_30,3,250,250,1.98773,2.01901,3.99565,0.73369,0.81943,0.8341,0.34958,0.14905,0.14877,short
0.3,40.0,2.0,50.0,0,constant,sim004_30,3,250,250,2.01622,2.04924,4.25179,0.74332,0.83619,0.85156,0.35097,0.14178,0.14138,short
0.3,48.0,2.0,50.0,0,constant,sim004_30,3,250,250,2.03629,2.07054,4.44831,0.7501,0.84837,0.86422,0.35195,0.13664,0.13614,short
0.1,4.0,2.0,50.0,10,constant,sim005_10,3,250,250,1.1408,1.13736,1.21162,0.42772,0.43572,0.43397,0.33194,0.30261,0.3028,short
0.1,12.0,2.0,50.0,10,constant,sim005_10,3,250,250,1.22775,1.21946,1.48709,0.45509,0.47757,0.47265,0.34519,0.26533,0.26559,short
0.1,20.0,2.0,50.0,10,constant,sim005_10,3,250,250,1.25546,1.24545,1.62299,0.46303,0.49225,0.48587,0.35125,0.24882,0.24912,short
0.1,28.0,2.0,50.0,10,constant,sim005_10,3,250,250,1.26959,1.2587,1.70565,0.46692,0.50006,0.49284,0.3547,0.23954,0.23987,short
0.1,32.0,2.0,50.0,10,constant,sim005_10,3,250,250,1.27439,1.26321,1.73612,0.46822,0.50277,0.49525,0.35592,0.23626,0.2366,short
0.1,40.0,2.0,50.0,10,constant,sim005_10,3,250,250,1.28151,1.26991,1.78362,0.47012,0.50684,0.49885,0.35778,0.23129,0.23164,short
